course_id,course_name,department,credits,description,exam_duration_min
CY3222,Cross-platform Effect,CYB,4,Question mouth factor per son war speak wait assume throughout leader bag.,120
CS1708,Configurable Actually,CS,3,Eye what body every recent many themselves minute.,90
SE1362,Team-oriented Discover,SE,2,Age indicate radio use listen information scene again country against soon strong mind from.,150
DS3711,De-engineered Edge,DS,4,Garden position for order recent success knowledge fight car smile commercial employee machine.,150
PH4943,Stand-alone Media,PHY,3,Show another good lay coach under Republican expect win.,90
CS4383,Synchronized Score,CS,3,Claim bring year off kid hard day.,120
DS3334,Persevering Past,DS,4,Program within challenge large wish move.,90
IT1160,Assimilated Sport,IT,4,Turn identify material certainly leader floor above.,90
PH4950,Devolved Crime,PHY,2,Wish former relate listen face want wonder off chair north trade kind.,90
MA2798,Multi-layered Score,Math,3,Rule too cause nearly final husband subject.,90
DS2158,Sharable Avoid,DS,2,Group for part crime money sit short cultural base support quality.,120
SE4569,Networked Nice,SE,3,Wish hour make owner memory argue project.,180
IT3984,Automated Soldier,IT,3,Challenge take hard health expect goal within them because road know.,90
CY3997,Future-proofed Occur,CYB,3,Sound eye south wife interest to cause onto beat debate listen.,120
MA2110,Re-engineered Reveal,Math,4,Would at whether series because important trial increase new report sense carry.,150
SE4966,Configurable Simply,SE,3,Strategy face make state few one management science.,180
SE2811,Centralized Himself,SE,3,Agree able enjoy what strong line president throughout.,120
PH3125,Business-focused History,PHY,3,Conference trade population agreement share manage wife out gun lose job.,90
PH4003,Persistent History,PHY,2,Physical live reason build mention offer suddenly clear around.,120
DS3639,Multi-lateral Operation,DS,2,Leave really group apply guess player western any factor police.,120
SE1688,Triple-buffered Security,SE,4,Message short consumer behind sell myself.,180
MA2209,Vision-oriented Good,Math,2,Step rate feeling rate read benefit oil statement actually million.,120
MA2444,Front-line Range,Math,2,Single include TV clear design me story somebody next ready.,120
MA4789,Polarized Partner,Math,4,Suffer Republican reduce sort individual trouble bring capital admit give reality catch.,60
CS3857,Total Size,CS,2,Threat our shake garden report agreement sport develop task central dinner.,120
DS2464,Virtual Head,DS,3,Decide wonder interesting several born affect machine.,150
MA3938,Future-proofed Land,Math,4,Amount blue soldier message arrive budget education at property senior site.,120
CY3953,Grass-roots Hotel,CYB,3,Day top continue goal before suffer walk we girl civil may rock drop.,120
DS2576,Monitored More,DS,2,Attention standard shake more respond who commercial senior above rise under turn surface.,180
SE2612,Progressive Security,SE,2,Hand operation keep whatever Congress great here Democrat dinner both world buy.,150
