student_id,course_id
1,CS1375
1,CS4696
1,CS3981
1,CS4806
1,CS1462
1,CS4250
2,MA2585
2,CY3634
2,CS1375
2,MA1519
3,MA1599
3,MA3854
3,MA1093
4,DS1649
4,DS2935
4,DS2508
4,DS2088
4,DS3056
4,DS1664
5,DS1649
5,DS1664
5,DS2088
5,DS2190
5,DS2274
6,CY3622
6,IT4039
6,SE2244
6,SE4473
7,CS4696
7,CS1462
7,CS2815
7,CS4250
8,MA1519
8,MA1599
8,MA1093
9,IT1676
9,IT4145
9,IT3943
9,IT3461
10,CS2815
10,CS3758
10,CS1462
10,CS2650
10,CS2963
11,DS2935
11,DS1413
11,DS4249
12,MA3886
12,CS3981
12,DS4249
13,CS4806
13,CS1462
13,CS2501
13,CY3634
13,IT4039
14,CY3634
14,SE2128
14,CY2551
14,PH1422
14,PH1036
14,IT3760
15,CS2570
15,MA4005
15,PH4533
16,CY3871
16,DS3641
16,MA4317
17,DS2274
17,DS4249
17,DS2987
17,DS1649
17,DS3056
18,CS3981
18,CS1462
18,CS1375
19,IT4145
19,IT3098
19,IT3943
19,SE3185
20,DS3641
20,DS1649
20,DS2088
20,DS2190
21,DS2935
21,DS3641
21,DS2190
21,DS1649
22,SE1055
22,SE4357
22,SE3163
22,SE2128
23,IT1676
23,IT1882
23,IT4039
23,IT1691
23,IT1999
23,IT1281
24,SE4880
24,PH1901
24,SE1055
25,DS4249
25,DS2987
25,CS2501
25,DS2890
25,MA3061
26,MA2213
26,MA3573
26,MA3061
27,SE4458
27,SE1055
27,SE4357
28,CY1371
28,CY3787
28,SE3163
28,IT1882
29,DS4249
29,DS2088
29,DS2935
29,DS3641
29,DS1413
30,DS1413
30,DS2987
30,DS2508
30,DS3641
30,DS2890
31,DS3641
31,DS2890
31,DS2935
32,IT3461
32,IT3254
32,IT1999
32,IT3535
33,CS2815
33,CS2570
33,CS1462
33,CS4696
33,CS3981
34,DS4184
34,DS3641
34,DS1649
34,DS2274
34,DS2508
35,MA3061
35,DS2935
35,PH2731
35,SE4925
35,DS2274
35,SE4458
36,CS4250
36,CS4806
36,CS3981
36,CS3758
36,CS1462
36,CS2570
37,DS2890
37,IT1676
37,MA3061
37,SE4473
37,CS4696
38,CS3758
38,SE3185
38,CS1375
39,IT1691
39,IT1999
39,IT1882
40,MA1930
40,MA3535
40,MA4234
40,MA1599
40,MA2585
40,MA3886
41,IT3461
41,IT4628
41,IT1882
41,IT4571
42,IT1691
42,IT3535
42,SE2128
42,MA3854
42,SE3163
42,CS3981
43,MA2213
43,MA3535
43,MA3886
43,MA4234
43,MA3113
44,SE3163
44,SE2244
44,SE4357
45,CS4250
45,CS4696
45,CS3758
45,CS2570
46,DS3641
46,CY3634
46,CS4828
46,DS4184
46,IT1699
46,IT1999
47,DS2508
47,DS3641
47,DS1649
47,DS2987
48,IT1691
48,MA3061
48,PH4533
48,CS2650
48,MA3886
49,MA4234
49,MA3535
49,MA2213
49,MA1093
50,CY1262
50,MA2585
50,SE3185
50,SE1055
51,IT3461
51,CY3787
51,SE4458
51,CY3610
51,CY3227
52,IT1281
52,IT1691
52,IT4039
52,IT3943
52,IT4145
52,IT1999
53,SE4473
53,SE2128
53,SE4357
53,SE4880
53,SE3185
54,DS2890
54,DS3056
54,DS2274
54,DS3641
54,DS2088
55,DS1649
55,DS2935
55,DS2190
56,CS2815
56,CS4696
56,CS4250
56,CS2963
57,DS2987
57,DS1413
57,DS2890
57,DS2088
57,DS3641
58,IT3461
58,IT3254
58,IT3098
58,IT4039
58,IT1699
59,CS3758
59,CY3787
59,IT1676
59,SE4458
59,SE2789
59,CS4696
60,MA3113
60,MA3573
60,MA1930
61,CS3667
61,IT3943
61,CS2501
61,CS3758
61,PH1901
62,DS2508
62,SE4473
62,CS4696
62,CS1462
62,DS2890
63,SE3185
63,SE4885
63,SE2789
63,SE4880
63,SE4925
63,SE4357
64,MA1093
64,SE1677
64,CS1375
65,SE4473
65,SE2128
65,SE3185
66,SE1693
66,SE4458
66,SE4885
67,SE3185
67,SE1693
67,CY4199
67,DS4184
68,SE3636
68,SE3163
68,SE4880
68,SE4458
68,SE1055
69,CS2963
69,CS2650
69,CS2570
70,DS2987
70,DS4184
70,DS3641
71,IT4571
71,DS1664
71,IT1699
71,SE1677
71,MA4005
71,SE1055
72,IT3760
72,IT3535
72,IT3254
72,IT1999
73,DS2274
73,DS2190
73,DS2088
74,CS2570
74,CS4806
74,CS4250
75,MA3854
75,MA3886
75,MA3535
75,MA4317
75,MA3061
76,DS1664
76,DS2508
76,DS1649
76,DS2274
76,DS4249
77,SE4473
77,SE4458
77,SE3163
77,SE2789
77,SE1055
78,IT4571
78,IT1999
78,IT3461
78,IT4628
78,IT1691
79,DS2088
79,DS1413
79,DS4249
79,DS2508
79,DS4184
79,DS2274
80,MA3854
80,MA1144
80,MA4234
81,IT3098
81,MA2213
81,DS3056
81,MA3886
81,IT1691
81,CS4806
82,DS2890
82,DS2190
82,DS1413
83,IT1676
83,IT1882
83,IT3535
83,IT1999
84,DS2508
84,SE1055
84,IT3098
85,MA1930
85,MA2585
85,MA1144
85,MA3573
85,MA1599
86,MA3061
86,MA1930
86,MA4317
87,CS2501
87,CS4828
87,CS4250
87,CS1375
87,CS3981
87,CS4806
88,SE4880
88,SE1677
88,SE1693
89,CS4250
89,IT1676
89,SE1055
89,DS2987
89,DS2508
89,SE4925
90,SE4458
90,DS1649
90,CY1371
90,IT1691
90,SE4885
90,CY4199
91,DS4184
91,DS2935
91,DS2987
91,DS1649
91,DS2508
92,MA3886
92,DS1664
92,DS4249
93,CY3787
93,MA3535
93,DS2935
94,SE4880
94,SE3185
94,SE1693
95,IT4628
95,SE4458
95,IT3535
95,CY3787
96,SE3185
96,SE2128
96,SE4458
96,SE1055
96,SE4925
97,IT3535
97,IT1882
97,IT3098
97,IT1999
97,IT3254
98,MA1519
98,MA3113
98,MA1930
98,MA3886
99,MA4005
99,MA3061
99,MA2213
100,CS3667
100,CS4696
100,CS2650
100,CS2963
100,CS2501
100,CS1375
101,IT1699
101,SE2128
101,IT3943
101,IT1882
101,MA3854
101,SE4925
102,IT4571
102,IT3254
102,IT4628
103,SE3163
103,IT1676
103,DS2190
104,CS3667
104,CS4696
104,CS4250
104,CS4828
104,CS2501
104,CS1375
105,SE2244
105,PH2731
105,CS3981
105,MA4005
105,IT3098
105,SE2128
106,PH2731
106,MA1093
106,DS4184
106,CS4250
107,CY4575
107,CS3758
107,DS2088
107,CS2963
107,MA4005
108,MA1930
108,MA3854
108,MA4005
108,MA3061
108,MA2585
109,DS3641
109,DS3056
109,DS4184
109,DS1664
109,DS2190
109,DS2508
110,MA3113
110,MA3061
110,MA3854
110,MA4317
110,MA1093
110,MA1930
111,IT1999
111,IT1882
111,IT4039
111,IT1281
112,DS4249
112,CS3981
112,CY3871
112,CS1462
113,DS2508
113,DS4249
113,DS2088
113,DS1413
114,DS4249
114,DS1413
114,DS2935
114,DS2088
115,DS2190
115,DS3641
115,DS2508
115,DS1664
115,DS2987
116,DS2935
116,DS2190
116,DS3056
117,CS1462
117,CS1375
117,CS4696
118,CS2570
118,CS2963
118,CS2501
118,CS4828
118,CS1375
119,IT4628
119,IT3254
119,IT1676
119,IT3098
120,CS2815
120,CS3981
120,CS4828
120,CS4696
120,CS1462
121,DS2508
121,DS1664
121,DS2190
122,MA1599
122,MA4234
122,MA2213
123,MA1144
123,MA2213
123,MA3886
123,MA1930
124,DS2274
124,DS1413
124,DS2190
124,DS2987
124,DS2088
125,IT1882
125,CS2815
125,CY3230
126,DS2987
126,DS2088
126,DS2935
126,DS4249
126,DS3056
126,DS4184
127,CS1462
127,CS4250
127,CS3981
127,CS2815
128,IT1281
128,MA3061
128,MA2213
129,MA3535
129,MA3854
129,MA1144
129,MA3886
129,MA4234
129,MA1519
130,MA3061
130,MA2213
130,MA3854
131,DS4249
131,DS4184
131,DS2274
131,DS1664
131,DS2890
131,DS3056
132,DS2890
132,DS1664
132,DS2190
132,DS4249
133,CS1462
133,CS4250
133,CS2570
134,DS2088
134,DS2935
134,DS2190
134,DS1649
135,MA1599
135,CY1371
135,IT3098
136,SE3163
136,SE4473
136,SE1055
136,SE2789
137,MA1599
137,MA4005
137,MA2585
137,MA3886
137,MA1144
138,CS2570
138,CS3667
138,CS4806
139,SE3163
139,SE2244
139,SE3185
139,SE4473
139,SE4458
140,DS2088
140,DS1413
140,DS2935
140,DS1664
140,DS3056
140,DS2274
141,CY4236
141,SE4473
141,MA1599
141,CY2551
141,CY3230
142,IT4571
142,IT1281
142,IT1999
142,IT4145
142,IT1676
142,IT1691
143,IT3943
143,IT3760
143,IT1281
144,SE2128
144,SE4880
144,SE4885
144,SE1677
144,SE2789
145,SE4458
145,MA1093
145,CY1262
145,CY3230
145,DS2088
145,PH1901
146,CY2551
146,MA1930
146,MA3113
146,CS4696
146,CS2650
146,MA4005
147,CS2501
147,CS1375
147,CS1462
147,CS4806
147,CS2570
147,CS3981
148,IT1699
148,IT4145
148,IT1676
149,DS1649
149,IT4039
149,CS2501
149,DS4249
150,CS4828
150,CS2963
150,CS2650
150,CS2501
151,CS1375
151,IT1691
151,DS3056
151,SE2789
151,DS2274
152,IT4039
152,IT3760
152,IT4571
152,IT1999
153,MA2213
153,DS1413
153,MA1093
154,SE1055
154,SE1693
154,SE4880
154,SE4473
154,SE3636
155,DS3056
155,DS2088
155,DS2190
155,DS1649
155,DS2987
155,DS2508
156,MA1599
156,MA3886
156,MA3854
156,MA4234
157,CS4250
157,CS3981
157,CS3758
157,CS3667
157,CS1462
157,CS4696
158,DS2890
158,DS2088
158,DS2274
158,DS1664
158,DS4249
158,DS1649
159,DS2088
159,DS2935
159,DS2890
159,DS1413
160,IT1691
160,PH1005
160,MA2585
160,PH1422
160,CY3871
161,CY2551
161,DS2508
161,IT3760
161,SE4925
162,MA3573
162,MA1144
162,MA2585
162,MA4234
163,SE2789
163,SE1677
163,SE4885
163,SE3636
163,SE4880
163,SE2244
164,SE2789
164,SE3185
164,SE4473
164,SE1693
164,SE1055
164,SE4458
165,SE4473
165,SE2789
165,SE4458
165,SE2128
166,CS3758
166,MA3886
166,IT1999
166,CY3634
167,SE4458
167,SE2789
167,SE2128
167,SE4880
167,SE4357
167,SE3185
168,IT1281
168,IT1999
168,IT4628
169,SE3163
169,SE4357
169,SE4925
169,SE4880
170,CS4696
170,CS3667
170,CS2501
171,CS1462
171,CS2650
171,CS4828
171,CS2501
171,CS3667
172,CS1375
172,CS2501
172,CS1462
172,CS4828
173,CS3758
173,CY3871
173,IT1999
173,MA2213
173,CS2501
173,CS4806
174,SE1677
174,SE2244
174,DS2890
174,DS1649
174,DS2274
174,PH1529
175,MA3573
175,MA1599
175,MA4317
176,DS4184
176,DS1649
176,DS2274
176,DS2088
177,PH4533
177,CY3227
177,CY1262
177,DS2274
177,PH1422
177,MA3061
178,IT4571
178,IT1699
178,IT3535
179,CS3981
179,MA2585
179,DS2935
179,MA4317
179,SE3636
179,SE1055
180,DS3056
180,DS2088
180,DS1413
180,DS1664
181,DS3641
181,MA2585
181,DS1649
181,MA4005
181,IT1281
181,MA1144
182,IT1999
182,IT4039
182,IT1676
182,IT1691
183,DS3056
183,DS1649
183,DS2508
183,DS2987
183,DS1413
184,MA1519
184,MA1930
184,MA3061
185,DS2508
185,DS2190
185,DS1664
185,DS4184
185,DS1413
185,DS4249
186,DS2088
186,DS1413
186,DS2890
187,IT3254
187,IT1691
187,IT3760
187,IT3461
187,IT1281
187,IT3943
188,SE1055
188,SE1677
188,SE3163
189,IT1882
189,IT4039
189,IT3254
189,IT3098
190,SE1693
190,SE4885
190,SE2789
191,MA1599
191,MA2213
191,MA1930
191,MA1144
192,MA2213
192,MA4234
192,MA2585
192,MA3113
192,MA3854
193,MA3061
193,MA1144
193,MA3854
193,MA3573
193,MA1519
194,SE3636
194,SE1055
194,SE4885
195,IT3760
195,PH1036
195,IT1676
195,IT4571
195,DS4249
195,CY4236
196,CS2815
196,CS1375
196,CS2963
196,CS3758
196,CS4250
197,SE1693
197,SE4880
197,SE3163
197,SE4885
197,SE3636
197,SE2128
198,CS4806
198,CS3758
198,CS2650
198,CS2570
198,CS4696
199,SE1693
199,SE1677
199,SE2244
200,SE3185
200,IT4039
200,IT4628
201,SE4357
201,SE1693
201,SE4473
201,SE3163
202,SE1055
202,MA3854
202,CY3288
203,DS2190
203,DS2890
203,DS1664
203,DS2088
204,MA3854
204,MA1599
204,MA3573
204,MA3113
205,DS4249
205,DS3056
205,DS3641
205,DS2935
205,DS4184
206,IT1882
206,IT4039
206,IT1676
206,IT1999
206,IT4628
206,IT3461
207,MA1144
207,SE4458
207,MA1930
207,DS1649
208,IT4039
208,DS2508
208,MA1144
208,DS3641
209,IT3254
209,IT1882
209,IT3760
209,IT4571
209,IT4039
210,IT1699
210,DS2890
210,CY3634
211,IT1676
211,IT3254
211,IT4628
212,DS1664
212,MA4005
212,CY4833
212,CY4236
212,DS3641
212,DS1649
213,SE2128
213,IT4145
213,CS4828
213,MA1144
213,DS2088
213,CS2650
214,DS2274
214,DS1649
214,DS3641
214,DS1664
214,DS4249
215,CS3981
215,DS2935
215,MA2585
215,CY3230
215,CS2501
216,IT4628
216,IT4039
216,IT3461
216,IT3535
217,CS2815
217,CS4806
217,CS2963
217,CS2570
218,CS2501
218,CS1462
218,CS2815
218,CS4250
219,DS2274
219,DS2190
219,DS3056
219,DS2935
219,DS1413
219,DS4184
220,CY1262
220,CS2963
220,CS1462
221,CS2501
221,CS3981
221,CS4250
221,CS2570
221,CS1462
222,DS2890
222,DS4184
222,DS1649
222,DS2935
222,DS2190
222,DS1413
223,MA1144
223,MA3535
223,MA4234
223,MA3061
223,MA3573
223,MA1093
224,IT3098
224,IT4628
224,IT1676
224,IT4145
224,IT1999
225,IT1281
225,CY1262
225,CS4828
225,MA4317
225,CS3981
225,CS2650
226,SE4473
226,SE1677
226,SE2789
227,PH1422
227,SE1693
227,MA1144
227,IT3535
227,MA1519
227,IT4039
228,MA3061
228,MA4005
228,MA2213
228,MA3854
229,DS1664
229,DS2935
229,DS3056
229,DS2987
229,DS4184
229,DS2190
230,IT1882
230,IT1999
230,IT4628
230,IT4571
230,IT4039
230,IT4145
231,DS2088
231,DS1413
231,DS1664
231,DS2890
231,DS2508
231,DS4184
232,PH1422
232,PH1901
232,IT3760
233,CS4828
233,CS2815
233,CS1462
233,CS2963
233,CS3667
234,CS3981
234,CY3871
234,IT3461
234,DS1649
234,CS3758
234,CY3787
235,DS3641
235,DS4249
235,DS4184
236,CY2551
236,PH1901
236,SE1677
236,CY3610
237,MA1093
237,MA4005
237,MA3854
237,MA3113
237,MA1599
238,DS4184
238,DS1413
238,DS3641
238,DS2088
238,DS1664
238,DS2935
239,SE4880
239,SE2244
239,SE3163
239,SE2789
240,MA3113
240,MA3573
240,MA2585
240,MA4005
240,MA3535
241,CS1375
241,CS2570
241,CS4828
241,CS2650
241,CS2815
241,CS4250
242,MA3061
242,MA3886
242,MA4317
242,MA3535
242,MA2585
243,CS1375
243,CS4696
243,CS4828
243,CS4806
243,CS3667
244,MA1093
244,MA2585
244,MA3113
244,MA1519
244,MA1144
244,MA4317
245,MA3535
245,MA2585
245,MA3886
245,MA3113
245,MA2213
245,MA1144
246,CS4806
246,CS2650
246,CS2501
246,CS4250
246,CS1375
246,CS2570
247,DS1664
247,MA2213
247,CY4575
247,CS2815
247,MA2585
247,CY4199
248,SE4458
248,SE1055
248,SE4880
248,SE2789
248,SE4473
248,SE1677
249,SE4357
249,DS2190
249,SE1677
250,CS4696
250,CS4806
250,CS2963
250,CS1375
250,CS2570
251,IT3254
251,IT4145
251,IT3943
251,IT3760
252,DS2890
252,DS2935
252,DS2987
252,DS3056
252,DS1664
253,IT4039
253,IT1999
253,IT1691
254,SE2789
254,SE4885
254,SE3185
254,SE1055
254,SE1677
254,SE4458
255,MA1599
255,MA2585
255,MA4234
255,MA3061
255,MA1093
255,MA1519
256,IT3943
256,IT1676
256,IT3098
256,IT3254
257,MA2585
257,MA3886
257,MA4317
258,CS4696
258,CS1462
258,CS2570
258,CS4250
259,IT4145
259,IT3943
259,IT3461
259,IT1882
259,IT4628
260,MA4317
260,MA3854
260,MA4005
261,MA3535
261,CY1557
261,DS1649
261,DS2190
261,SE1055
262,IT1691
262,IT4628
262,IT4039
262,IT3254
262,IT1676
262,IT3461
263,SE1677
263,SE4473
263,SE3636
263,SE2128
263,SE4925
264,PH4533
264,DS2190
264,CS2963
264,IT1676
265,MA1144
265,IT1676
265,DS1664
265,CS3667
266,MA1930
266,MA1144
266,MA2213
267,DS2890
267,DS2088
267,DS3056
267,DS2987
268,SE3185
268,SE4357
268,SE4925
268,SE3636
269,MA3573
269,MA2585
269,MA1519
269,MA3113
269,MA4005
270,MA1599
270,MA2213
270,MA1930
270,MA3113
271,SE4357
271,SE2789
271,SE1693
271,SE4880
271,SE3636
271,SE2244
272,CS3981
272,CS2815
272,CS2650
272,CS3758
273,IT3760
273,IT4039
273,IT1676
273,IT1882
273,IT3254
273,IT1699
274,IT1999
274,CS2570
274,PH1036
275,SE4458
275,SE3185
275,SE4925
276,DS2274
276,DS3641
276,DS1413
276,DS3056
277,DS4249
277,DS2190
277,DS2890
277,DS1664
278,MA1144
278,IT1699
278,IT1691
278,CS1375
279,CS2650
279,CS3981
279,CS3667
280,CS2963
280,CS2570
280,CS3758
281,IT1999
281,IT4571
281,IT1676
281,IT4039
281,IT1281
281,IT4145
282,DS2274
